Time,u[0],d[0],x[0],x[1],x[2],y[0]
0.15,-0.00210309,-0.155137,0.000838277,0.00157113,0.00309564,0.00210309
0.151,-0.00198843,-1.01804,0.000839337,0.00055004,0.0020776,0.00198843
0.152,-0.00124199,0.70693,0.00084024,0.00125483,0.00278453,0.00124199
0.153,-0.00175884,-3.31673,0.000839835,-0.00206325,-0.0005322,0.00175884
0.154,0.000670572,0.4741,0.00083801,-0.00158666,-5.81003e-05,-0.000670572
0.155,0.000323505,0.369498,0.000836609,-0.00121544,0.000311398,-0.000323505
0.156,5.31519e-05,0.644345,0.000835717,-0.000570146,0.000955743,-5.31519e-05
0.157,-0.000418341,1.21438,0.000835754,0.000643778,0.00217012,0.000418341
0.158,-0.00130703,-1.03233,0.00083588,-0.000389984,0.00113779,0.00130703
0.159,-0.000550393,1.2448,0.000836113,0.000854034,0.00238259,0.000550393
0.16,-0.00146131,-0.353938,0.000836789,0.000497958,0.00202866,0.00146131
0.161,-0.00120132,2.76362,0.000838667,0.0032585,0.00479227,0.00120132
0.162,-0.00322405,-3.42863,0.000840208,-0.000174903,0.00136364,0.00322405
0.163,-0.000712171,-0.383854,0.000839841,-0.000559101,0.000979787,0.000712171
0.164,-0.000430551,-3.26589,0.00083765,-0.00382323,-0.00228611,0.000430551
0.165,0.00196115,1.91004,0.000834784,-0.00190837,-0.00037607,-0.00196115
0.166,0.00056224,-0.497227,0.000832629,-0.00240288,-0.000873297,-0.00056224
0.167,0.000926401,-1.52707,0.000829464,-0.00392586,-0.00240037,-0.000926401
0.168,0.00204446,-3.52939,0.000823777,-0.00744752,-0.00592976,-0.00204446
0.169,0.00462818,-0.314231,0.000816179,-0.00774952,-0.00624399,-0.00462818
0.17,0.00485686,0.295171,0.000808583,-0.0074419,-0.00594882,-0.00485686
0.171,0.00463926,-0.730394,0.000800782,-0.00815985,-0.00667921,-0.00463926
0.172,0.00517264,-0.105454,0.000792576,-0.00825193,-0.00678466,-0.00517264
0.173,0.00524825,1.90454,0.000785283,-0.00633485,-0.00488013,-0.00524825
0.174,0.00385215,-1.04505,0.000778431,-0.00736919,-0.00592518,-0.00385215
0.175,0.00461619,-2.76984,0.000769683,-0.0101257,-0.00869502,-0.00461619
0.176,0.00664282,1.70538,0.000760418,-0.00840438,-0.00698963,-0.00664282
0.177,0.00539201,-2.1304,0.000750956,-0.0105199,-0.00912003,-0.00539201
0.178,0.00695016,-0.409293,0.00074024,-0.0109116,-0.00952933,-0.00695016
0.179,0.00724757,-0.332422,0.000729172,-0.0112257,-0.00986175,-0.00724757
0.18,0.00748858,-3.08281,0.000716414,-0.0142882,-0.0129446,-0.00748858
0.181,0.00974329,1.29324,0.000702785,-0.0129716,-0.0116513,-0.00974329
0.182,0.00879309,-1.56531,0.000689041,-0.0145144,-0.0132166,-0.00879309
0.183,0.00993622,-0.325223,0.000674377,-0.014815,-0.0135418,-0.00993622
0.184,0.010171,1.4491,0.000660299,-0.0133417,-0.0120927,-0.010171
0.185,0.00910647,2.15248,0.000648044,-0.0111678,-0.00994027,-0.00910647
0.186,0.00752736,0.309947,0.00063704,-0.0108393,-0.00963033,-0.00752736
0.187,0.0072979,0.54567,0.000626483,-0.0102758,-0.00908466,-0.0072979
0.188,0.00689593,-1.60831,0.000615412,-0.0118662,-0.010693,-0.00689593
0.189,0.00807122,0.0242898,0.000603568,-0.0118219,-0.0106687,-0.00807122
0.19,0.0080507,0.797629,0.000592154,-0.0110049,-0.00987105,-0.0080507
0.191,0.00746396,2.22353,0.00058227,-0.00876397,-0.00764751,-0.00746396
0.192,0.0058334,0.759983,0.000573893,-0.00798978,-0.00688753,-0.0058334
0.193,0.00527503,-2.88833,0.000564467,-0.0108634,-0.00977586,-0.00527503
0.194,0.0073881,-3.02963,0.000552098,-0.0138733,-0.0128055,-0.0073881
0.195,0.00960385,0.379449,0.000538426,-0.0134706,-0.012426,-0.00960385
0.196,0.00932271,-1.05029,0.000524442,-0.0144975,-0.0134763,-0.00932271
0.197,0.0100885,-1.13137,0.000509391,-0.0156038,-0.0146077,-0.0100885
0.198,0.0109134,-2.35954,0.000492621,-0.0179356,-0.0169672,-0.0109134
0.199,0.0126372,-0.275473,0.000474563,-0.0181804,-0.0172427,-0.0126372
0.2,0.0128344,-1.45616,0.000455671,-0.0196048,-0.0186989,-0.0128344
0.201,0.0138961,-1.14434,0.00043551,-0.0207151,-0.0198432,-0.0138961
0.202,0.014729,0.228901,0.000414927,-0.0204509,-0.0196143,-0.014729
0.203,0.0145562,0.074004,0.000394531,-0.020342,-0.0195403,-0.0145562
0.204,0.0144968,-0.496898,0.000373958,-0.0208038,-0.0200372,-0.0144968
0.205,0.0148555,-0.138757,0.000353103,-0.0209068,-0.020176,-0.0148555
0.206,0.0149518,2.47352,0.00033345,-0.0183987,-0.0177024,-0.0149518
0.207,0.0131353,-1.97619,0.00031408,-0.0203424,-0.0196786,-0.0131353
0.208,0.0145776,-1.258,0.000293126,-0.0215648,-0.0209366,-0.0145776
0.209,0.0154934,-1.54189,0.000270809,-0.0230689,-0.0224785,-0.0154934
0.21,0.0166168,-0.0192908,0.00024775,-0.0230485,-0.0224978,-0.0166168
